18.654512472,追
19.154512472,女
19.654512472,孩
20.404512472,太
20.904512472,过
21.154512472,装
21.404512472,乖
21.654512472,就
21.904512472,会
22.154512472,显
22.404512472,得
22.654512472,天
23.154512472,然
23.654512472,呆
24.404512472,偶
24.904512472,尔
25.154512472,使
25.404512472,坏
25.654512472,才
25.904512472,会
26.154512472,让
26.404512472,她
26.654512472,更
27.154512472,依
27.654512472,赖
28.404512472,恋
28.904512472,爱
29.154512472,比
29.404512472,赛
29.654512472,你
30.017596372,是
30.404512472,否
30.654512472,搞
31.154512472,明
31.404512472,白
32.404512472,别
32.654512472,轻
33.154512472,易
33.404512472,摊
33.904512472,牌
34.654512472,我
35.154512472,太
35.654512472,乖
36.404512472,太
36.904512472,多
37.154512472,技
37.404512472,巧
37.654512472,就
38.029523810,会
38.404512472,招
38.654512472,架
39.154512472,不
39.654512472,来
40.404512472,信
40.904512472,心
41.154512472,超
41.404512472,载
41.654512472,结
42.029523810,果
42.404512472,又
42.654512472,被
43.154512472,打
43.654512472,败
44.404512472,遇
44.904512472,见
45.154512472,心
45.404512472,动
45.654512472,女
46.029523810,孩
46.404512472,也
46.654512472,不
47.154512472,知
47.404512472,道
47.904512472,该
48.654512472,怎
49.154512472,么
49.404512472,表
49.904512472,白
50.654512472,你
50.904512472,的
51.154512472,想
51.404512472,法
51.654512472,真
51.904512472,的
52.154512472,有
52.404512472,够
52.904512472,拽
53.904512472,有
54.154512472,够
54.404512472,拽
54.654512472,没
54.904512472,人
55.154512472,还
55.404512472,会
55.654512472,在
55.904512472,乎
56.154512472,这
56.404512472,些
56.904512472,点
57.904512472,这
58.154512472,些
58.404512472,点
58.654512472,如
58.904512472,果
59.154512472,真
59.404512472,的
59.654512472,可
59.904512472,笑
60.154512472,又
60.404512472,可
60.904512472,怜
61.904512472,我
62.404512472,该
62.654512472,怎
63.154512472,么
63.404512472,改
63.904512472,变
64.404512472,这
64.904512472,局
65.404512472,面
66.654512472,呜
68.404512472,放
68.904512472,浪
69.404512472,一
69.904512472,点
70.654512472,呜
72.404512472,威
72.904512472,猛
73.404512472,一
73.904512472,些
74.654512472,呜
76.404512472,跟
76.904512472,着
77.404512472,我
77.904512472,学
78.654512472,呜
80.404512472,情
80.904512472,圣
81.404512472,出
81.904512472,现
82.654512472,呜
84.404512472,骄
84.904512472,傲
85.404512472,一
85.904512472,点
86.654512472,呜
88.404512472,幽
88.904512472,默
89.404512472,一
89.904512472,些
90.654512472,呜
92.404512472,跟
92.904512472,着
93.404512472,我
93.904512472,念
94.654512472,呜
96.404512472,情
96.904512472,圣
97.404512472,要
97.904512472,出
98.404512472,现
